,Unnamed: 0,osn,candidate,party,evm_votes,postal_votes,total_votes,percentage_votes,contituencty
971,Sugauli,Narkatia,BINOD KUMAR SINGH,Rashtriya Jansangharsh Swaraj Party,1113,Valmikinagar,1114,0.66,Kadwa
972,Narkatia,Harsidhi (S.C),MD ANWAR ALAM,Independent,1600,Valmikinagar,1601,0.94,Kadwa
973,Harsidhi (S.C),Govindganj,MANORANJAN PRASAD DAS,Independent,1716,Lauriya,1721,1.01,Kadwa
974,Govindganj,Kesaria,MINU KUMARI,Independent,3713,0,3713,2.19,Kadwa
975,Kesaria,Kalyanpur,RANJEET PRASAD DAS,Independent,2284,0,2284,1.35,Kadwa
976,Kalyanpur,Pipra,SAJAN KUMAR,Independent,1681,Harsidhi (S.C),1694,Valmikinagar,Kadwa
977,Pipra,Madhuban,HIMRAJ SINGH,Independent,5099,Balrampur,5164,3.04,Kadwa
978,Madhuban,Motihari,NOTA,None of the Above,1404,Valmikinagar,1405,0.83,Kadwa
979,0,Valmikinagar,KHAWAJA BAHAUDDIN AHMED,Nationalist Congress Party,3435,Bettiah,3443,1.68,Balrampur
980,Valmikinagar,Ramnagar,SANGITA DEVI,Lok Jan Shakti Party,8853,Baruraj,8949,4.38,Balrampur
981,Ramnagar,Narkatiaganj,AZAD KHAN,Rashtriya Jankranti Party,4745,Ramnagar,4747,2.32,Balrampur
982,Narkatiaganj,Bagaha,MD. NOOR ALAM,Peace Party,826,0,826,0.4,Balrampur
983,Bagaha,Lauriya,MD. FAKHRUDDIN,Janata Dal  (Secular),1160,0,1160,0.57,Balrampur
984,Lauriya,Nautan,BARUN KUMAR JHA,Vikassheel Insaan Party,50668,Rafiganj,50892,24.89,Balrampur
985,Nautan,Chanpatia,MAHBOOB ALAM,Communist Party of India  (Marxist-Leninist)  (Liberation),103746,743,104489,51.11,Balrampur
986,Chanpatia,Bettiah,MUNOVAR HUSAIN,SOCIAL DEMOCRATIC PARTY OF INDIA,3247,Chanpatia,3254,1.59,Balrampur
987,Bettiah,Sikta,MD. SHAMIM AKHTAR,Peoples Party of India (Democratic),3072,0,3072,1.5,Balrampur
988,Sikta,Raxaul,SAKIR ALAM,Bahujan Mukti Party,2870,Ramnagar,2872,1.4,Balrampur
989,Raxaul,Sugauli,JAGANNATH DAS,Independent,4054,Madhubani,4090,Ramnagar,Balrampur
990,Sugauli,Narkatia,MD. ZINNAH,Independent,7841,Rajnagar,7878,3.85,Balrampur
991,Narkatia,Harsidhi (S.C),TANWEER SHAMSI,Independent,2039,Ramnagar,2041,Valmikinagar,Balrampur
992,Harsidhi (S.C),Govindganj,SUNIL CHAUDHARY,Independent,1559,Valmikinagar,1560,0.76,Balrampur
993,Govindganj,Kesaria,NOTA,None of the Above,5159,Chanpatia,5166,2.53,Balrampur
994,0,Valmikinagar,TAUQUIR ALAM,Indian National Congress,76326,676,77002,38.48,Pranpur
995,Valmikinagar,Ramnagar,NISHA SINGH,Bharatiya Janata Party,79592,382,79974,39.97,Pranpur
996,Ramnagar,Narkatiaganj,ABDUS SALAM,Azad Samaj Party,1257,Narkatiaganj,1260,0.63,Pranpur
997,Narkatiaganj,Bagaha,GANGA KEWAT,Rashtriya Jansambhavna Party,609,Ramnagar,611,0.31,Pranpur
998,Bagaha,Lauriya,DILIP KUMAR CHOUDHARY,Anti Corruption Dynamic Party,360,0,360,0.18,Pranpur
999,Lauriya,Nautan,MANOJ MURMU,Bahujan Mukti Party,2645,Valmikinagar,2646,1.32,Pranpur
1000,Nautan,Chanpatia,HASSAN MAHMOOD AHAMAD,All India Majlis-E-Ittehadul Muslimeen,507,Valmikinagar,508,0.25,Pranpur
1001,Chanpatia,Bettiah,AJAY SINGH,Independent,3396,Lauriya,3401,1.7,Pranpur
1002,Bettiah,Sikta,ISHRAT PARWEEN,Independent,19585,Banka,19746,9.87,Pranpur
1003,Sikta,Raxaul,KISHOR MANDAL,Independent,3565,Jhanjharpur,3603,1.8,Pranpur
1004,Raxaul,Sugauli,JAWED RAHI,Independent,911,Valmikinagar,912,0.46,Pranpur
1005,Sugauli,Narkatia,DILIP KUMAR DIWAKAR,Independent,1006,Ramnagar,1008,0.5,Pranpur
1006,Narkatia,Harsidhi (S.C),SUDARSHAN CHANDRA PAUL,Independent,5857,Harlakhi,5888,2.94,Pranpur
1007,Harsidhi (S.C),Govindganj,NOTA,None of the Above,3167,Valmikinagar,3168,1.58,Pranpur
1008,0,Valmikinagar,ANIL KUMAR ORAON,Lok Jan Shakti Party,20280,Banka,20441,11.28,Manihari
1009,Valmikinagar,Ramnagar,MANOHAR PRASAD SINGH,Indian National Congress,82253,779,83032,45.81,Manihari
1010,Ramnagar,Narkatiaganj,SHAMBHU KUMAR SUMAN,Janata Dal (United),61574,249,61823,34.11,Manihari
1011,Narkatiaganj,Bagaha,ARUN URAWN,Peoples Party of India (Democratic),1262,Sugauli,1273,0.7,Manihari
1012,Bagaha,Lauriya,GORETI MURMU,All India Majlis-E-Ittehadul Muslimeen,2458,Pipra,2475,1.37,Manihari
1013,Lauriya,Nautan,NAGENDRA CHANDRA MANDAL,Shiv Sena,687,0,687,0.38,Manihari
1014,Nautan,Chanpatia,FULAMANI HEMBRAM,Jharkhand Mukti Morcha,1058,Valmikinagar,1059,0.58,Manihari
1015,Chanpatia,Bettiah,SHIV NARAYAN,Janata Dal  (Secular),937,Ramnagar,939,0.52,Manihari
1016,Bettiah,Sikta,MINAKSHI SHWETA,Independent,1663,Bagaha,1667,0.92,Manihari
1017,Sikta,Raxaul,RAMESHWAR HEMBRAM,Independent,2568,0,2568,1.42,Manihari
1018,Raxaul,Sugauli,SHOBHA SOREN,Independent,1840,0,1840,1.02,Manihari
1019,Sugauli,Narkatia,NOTA,None of the Above,3454,Ramnagar,3456,1.91,Manihari
1020,0,Valmikinagar,Neeraj Kumar,Rashtriya Janata Dal,70473,841,71314,Phulparas,Barari
1021,Valmikinagar,Ramnagar,Bijay Singh,Janata Dal (United),81320,432,81752,44.71,Barari
1022,Ramnagar,Narkatiaganj,Bibhash Chandra Choudhary,Lok Jan Shakti Party,7804,Taraiya,7920,4.33,Barari
1023,Narkatiaganj,Bagaha,Md. Shamsad Alam,Nationalist Congress Party,1077,Nautan,1083,0.59,Barari
1024,Bagaha,Lauriya,Kavindra Kumar Paul,Bhartiya Sablog Party,1352,Nautan,1358,0.74,Barari
1025,Lauriya,Nautan,Tanuja Khatoon,The Plurals Party,1169,Narkatiaganj,1172,0.64,Barari
1026,Nautan,Chanpatia,Nasim akhtar,SOCIAL DEMOCRATIC PARTY OF INDIA,1064,Narkatia,1076,0.59,Barari
1027,Chanpatia,Bettiah,Md. Parvez Alam,Loktantrik Janta Dal,1560,Babubarhi,1594,0.87,Barari
1028,Bettiah,Sikta,Rakesh Kumar Raushan,All India Majlis-E-Ittehadul Muslimeen,6564,Babubarhi,6598,3.61,Barari
1029,Sikta,Raxaul,Lal krishna prasad,Apna Kisan Party,464,Narkatiaganj,467,0.26,Barari
1030,Raxaul,Sugauli,Shailesh kumar singh,Peoples Party of India (Democratic),561,Narkatiaganj,564,0.31,Barari
1031,Sugauli,Narkatia,MD. Saghir Alam,Jan Adhikar Party,1046,Narkatiaganj,1049,0.57,Barari
1032,Narkatia,Harsidhi (S.C),Md. Babar,Independent,1309,0,1309,0.72,Barari
1033,Harsidhi (S.C),Govindganj,Srikant Mandal,Independent,1942,Valmikinagar,1943,1.06,Barari
1034,Govindganj,Kesaria,NOTA,None of the Above,3651,Valmikinagar,3652,Ramnagar,Barari
1035,0,Valmikinagar,KAVITA DEVI,Bharatiya Janata Party,104165,460,104625,53.31,Korha
1036,Valmikinagar,Ramnagar,PUNAM KUMARI ALIAS PUNAM PASWAN,Indian National Congress,75158,524,75682,38.56,Korha
1037,Ramnagar,Narkatiaganj,MANJU DEVI,Nationalist Congress Party,1383,Raxaul,1393,0.71,Korha
1038,Narkatiaganj,Bagaha,LALIT KUMAR,Rashtriya Lok Samta Party,2138,Harsidhi (S.C),2151,1.1,Korha
1039,Bagaha,Lauriya,KUMAR RAVI,Peoples Party of India (Democratic),324,0,324,0.17,Korha
1040,Lauriya,Nautan,JAGDISH PRASAD,Bharat Jago Janta Party,416,Ramnagar,418,0.21,Korha
1041,Nautan,Chanpatia,BHOLA PASWAN,Bahujan Mukti Party,451,0,451,0.23,Korha
1042,Chanpatia,Bettiah,WAKIL DAS,Jan Adhikar Party (Loktantrik),3565,Aurai,3654,1.86,Korha
1043,Bettiah,Sikta,SITA RAM DASS,Janata Dal  (Secular),629,Narkatiaganj,632,0.32,Korha
1044,Sikta,Raxaul,ARJUN RAM,Independent,744,0,744,0.38,Korha
1045,Raxaul,Sugauli,KULDIP PASWAN,Independent,953,Ramnagar,955,0.49,Korha
1046,Sugauli,Narkatia,JAI PRAKAS DAS,Independent,1464,Narkatiaganj,1467,0.75,Korha
1047,Narkatia,Harsidhi (S.C),NOTA,None of the Above,3763,Valmikinagar,3764,1.92,Korha
1048,0,Valmikinagar,MD. IFTEKHAR ALAM,Rashtriya Lok Samta Party,4595,Valmikinagar,4596,2.16,Alamnagar
1049,Valmikinagar,Ramnagar,NABIN KUMAR,Rashtriya Janata Dal,73240,597,73837,34.69,Alamnagar
1050,Ramnagar,Narkatiaganj,NARENDRA NARAYAN YADAV,Janata Dal (United),102335,Bankipur,102517,48.17,Alamnagar
1051,Narkatiaganj,Bagaha,SUNILA DEVI,Lok Jan Shakti Party,9263,Bathnaha,9287,4.36,Alamnagar
1052,Bagaha,Lauriya,ABHISHEK ANAND,The Plurals Party,1182,0,1182,0.56,Alamnagar
1053,Lauriya,Nautan,NARESH MANDAL,Rashtriya Jan Jan Party,1828,0,1828,0.86,Alamnagar
1054,Nautan,Chanpatia,PRASHANT KUMAR JHA,Lok Shakti Party (Loktantrik),1213,0,1213,0.57,Alamnagar
1055,Chanpatia,Bettiah,RAJNANDAN KUMAR SINHA,Samata Party,2254,0,2254,1.06,Alamnagar
1056,Bettiah,Sikta,SARVESHWAR PRASAD SINGH,Jan Adhikar Party (Loktantrik),8457,Sikta,8466,3.98,Alamnagar
1057,Sikta,Raxaul,SUDHANSHU KUMAR,Bharat Jago Janta Party,3053,Valmikinagar,3054,1.43,Alamnagar
1058,Raxaul,Sugauli,NOTA,None of the Above,4592,Narkatiaganj,4595,2.16,Alamnagar
1059,0,Valmikinagar,NIRANJAN KUMAR MEHTA,Janata Dal (United),81109,422,81531,43.63,Bihariganj
1060,Valmikinagar,Ramnagar,VIJAY KUMAR SINGH,Lok Jan Shakti Party,8693,Bihariganj,8764,4.69,Bihariganj
1061,Ramnagar,Narkatiaganj,SUBHASHINI BUNDELA ALIAS SUBHASHINI SHARAD YADAV,Indian National Congress,61650,1170,62820,33.61,Bihariganj
1062,Narkatiaganj,Bagaha,OM KUMAR,Bhartiya Mahasangh Party,1251,Bagaha,1255,0.67,Bihariganj
1063,Bagaha,Lauriya,KAUSHAL KUMAR,Bharatiya Jan Kranti Dal (Democratic),579,Ramnagar,581,0.31,Bihariganj
1064,Lauriya,Nautan,JAYANT YADAV,The Plurals Party,586,Bagaha,590,0.32,Bihariganj
1065,Nautan,Chanpatia,DHARMENDRA KUMAR,Janvadi Party(Socialist),1395,Sikta,1404,0.75,Bihariganj
1066,Chanpatia,Bettiah,PANKAJ KUMAR JAYSWAL,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1579,Nautan,1585,0.85,Bihariganj
1067,Bettiah,Sikta,PRABHASH KUMAR,Jan Adhikar Party (Loktantrik),5555,Araria,5604,Narkatiaganj,Bihariganj
1068,Sikta,Raxaul,PRAMOD KUMAR NIRALA,Jagrook Janta Party,623,Bagaha,627,0.34,Bihariganj
1069,Raxaul,Sugauli,MD MASUM RAJA,Bhartiya Rashtriya Dal,950,0,950,0.51,Bihariganj
1070,Sugauli,Narkatia,MOHAN KUMAR,Rashtra Sewa Dal,973,Narkatiaganj,976,0.52,Bihariganj
1071,Narkatia,Harsidhi (S.C),RAJEEV RANGAN BHARTI,Apna Kisan Party,1326,Ramnagar,1328,0.71,Bihariganj
1072,Harsidhi (S.C),Govindganj,VIJAY PRABHAT,Proutist Sarva Samaj,2796,Nautan,2802,1.5,Bihariganj
1073,Govindganj,Kesaria,SHANKAR KUMAR,Lok Shakti Party (Loktantrik),1633,Bagaha,1637,0.88,Bihariganj
1074,Kesaria,Kalyanpur,SHAKUNTALA DEVI,Sanyukt Vikas Party,4878,Lauriya,4883,2.61,Bihariganj
1075,Kalyanpur,Pipra,SUMIT KUMAR ALIAS SUMITRANANDAN SWAMI,Rashtrawadi Janlok Party (Satya),3305,Bagaha,3309,1.77,Bihariganj
1076,Pipra,Madhuban,ANIRUDDH MEHTA,Independent,707,Ramnagar,709,0.38,Bihariganj
1077,Madhuban,Motihari,ANILA DEVI,Independent,1766,Narkatiaganj,1769,0.95,Bihariganj
1078,Motihari,Chiraiya,ARUN KUMAR HEMBRAM,Independent,1116,Lauriya,1121,0.6,Bihariganj
1079,Chiraiya,Dhaka,KAMLASHWARI DAS,Independent,468,Valmikinagar,469,0.25,Bihariganj
1080,Dhaka,Sheohar,SADANAND PASWAN,Independent,579,0,579,0.31,Bihariganj
1081,Sheohar,Riga,NOTA,None of the Above,1586,Bagaha,1590,0.85,Bihariganj
1082,0,Valmikinagar,AMIT KUMAR BHARTI,Lok Jan Shakti Party,5586,Dhaka,5607,2.94,Singheshwar
1083,Valmikinagar,Ramnagar,CHANDRAHAS CHAUPAL,Rashtriya Janata Dal,85395,786,86181,45.13,Singheshwar
1084,Ramnagar,Narkatiaganj,RAMESH RISHIDEV,Janata Dal (United),80400,Sasaram,80608,42.21,Singheshwar
1085,Narkatiaganj,Bagaha,RAMDEO RAM,Bahujan Samaj Party,1656,Bettiah,1664,0.87,Singheshwar
1086,Bagaha,Lauriya,SANJAY SADA,Nationalist Congress Party,564,Ramnagar,566,0.3,Singheshwar
1087,Lauriya,Nautan,ANIL KUMAR BANDHU,Jan Adhikar Party (Loktantrik),3824,Nautan,3830,2.01,Singheshwar
1088,Nautan,Chanpatia,GULABCHAND DAS,Aadarsh Mithila Party,1716,Valmikinagar,1717,0.9,Singheshwar
1089,Chanpatia,Bettiah,TRIFUL DEVI,Jai Maha Bharath Party,2133,0,2133,1.12,Singheshwar
1090,Bettiah,Sikta,SHIVJEE RAM,"Aam Janmat Party,",2354,0,2354,1.23,Singheshwar
1091,Sikta,Raxaul,SURENDRA SHARMA,Bhartiya Lokmat Rashtrwadi Party,2292,0,2292,1.2,Singheshwar
1092,Raxaul,Sugauli,NOTA,None of the Above,3995,Narkatiaganj,3998,2.09,Singheshwar
1093,0,Valmikinagar,CHANDRA SHEKHAR,Rashtriya Janata Dal,79839,0,79839,39.24,Madhepura
1094,Valmikinagar,Ramnagar,NIKHIL MANDAL,Janata Dal (United),64767,0,64767,31.83,Madhepura
1095,Ramnagar,Narkatiaganj,SAAKAR SURESH YADAV,Lok Jan Shakti Party,6326,0,6326,3.11,Madhepura
1096,Narkatiaganj,Bagaha,JANESHWAR SHARMA,"Log Jan Party - Secular,",818,0,818,0.4,Madhepura
1097,Bagaha,Lauriya,GYANDEV BACHAN,Lok Shakti Party (Loktantrik),705,0,705,0.35,Madhepura
1098,Lauriya,Nautan,RAJESH RANJAN ALIAS PAPPU YADAV,Jan Adhikar Party (Loktantrik),26462,0,26462,13.01,Madhepura
1099,Nautan,Chanpatia,SUNIL KUMAR SUMAN,Proutist Sarva Samaj,837,0,837,0.41,Madhepura
1100,Chanpatia,Bettiah,AMARDEEP KUMAR,Independent,1285,0,1285,0.63,Madhepura
1101,Bettiah,Sikta,UPENDRA KAMAT,Independent,516,0,516,0.25,Madhepura
1102,Sikta,Raxaul,DINESH YADAV URF FAUJI,Independent,1133,0,1133,0.56,Madhepura
1103,Raxaul,Sugauli,MANDEV TANTI,Independent,984,0,984,0.48,Madhepura
1104,Sugauli,Narkatia,RANBEER RANJAN,Independent,946,0,946,0.46,Madhepura
1105,Narkatia,Harsidhi (S.C),RAVINDRA KUMAR SAH,Independent,1218,0,1218,0.6,Madhepura
1106,Harsidhi (S.C),Govindganj,LALAN KUMAR,Independent,2825,0,2825,1.39,Madhepura
1107,Govindganj,Kesaria,LALO RISHIDEV,Independent,1977,0,1977,0.97,Madhepura
1108,Kesaria,Kalyanpur,VIKRAM KUMAR,Independent,4293,0,4293,2.11,Madhepura
1109,Kalyanpur,Pipra,SHASHI KUMAR,Independent,5534,0,5534,2.72,Madhepura
1110,Pipra,Madhuban,SURESH KUMAR,Independent,1637,0,1637,0.8,Madhepura
1111,Madhuban,Motihari,NOTA,None of the Above,1349,0,1349,0.66,Madhepura
1112,0,Valmikinagar,KIRAN DEVI,Bahujan Samaj Party,2843,Lauriya,2848,1.69,Sonbarsha
1113,Valmikinagar,Ramnagar,TARNI RISHIDEO,Indian National Congress,53798,414,54212,32.2,Sonbarsha
1114,Ramnagar,Narkatiaganj,PAWAN PASWAN,Nationalist Congress Party,1792,0,1792,1.06,Sonbarsha
1115,Narkatiaganj,Bagaha,RATNESH SADA,Janata Dal (United),67530,Alauli,67678,40.2,Sonbarsha
1116,Bagaha,Lauriya,SARITA DEVI,Lok Jan Shakti Party,13487,Gaura Bauram,13566,8.06,Sonbarsha
1117,Lauriya,Nautan,AMIR RAM,The Plurals Party,1036,Valmikinagar,1037,0.62,Sonbarsha
1118,Nautan,Chanpatia,UMESH PASWAN,Jantantrik Lokhit Party,881,Narkatiaganj,884,0.53,Sonbarsha
1119,Chanpatia,Bettiah,PRITHVI CHANDRA SADA,Rashtriya Jansambhavna Party,759,0,759,0.45,Sonbarsha
1120,Bettiah,Sikta,PRANJAL RANJAN KUMAR URF DILKHUSH PASWAN,Jantantrik Vikas Party,705,0,705,0.42,Sonbarsha
1121,Sikta,Raxaul,MANOJ PASWAN,Jan Adhikar Party (Loktantrik),4780,Raxaul,4790,2.85,Sonbarsha
1122,Raxaul,Sugauli,UPENDRA RAM,Independent,1037,0,1037,0.62,Sonbarsha
1123,Sugauli,Narkatia,BHUMI PASWAN,Independent,2547,0,2547,1.51,Sonbarsha
1124,Narkatia,Harsidhi (S.C),MANJAY KUMAR,Independent,2774,Valmikinagar,2775,1.65,Sonbarsha
1125,Harsidhi (S.C),Govindganj,RAMESH KUMAR SHARMA,Independent,3381,Valmikinagar,3382,2.01,Sonbarsha
1126,Govindganj,Kesaria,RAJESH RAM,Independent,4891,Ramnagar,4893,2.91,Sonbarsha
1127,Kesaria,Kalyanpur,SIKANDAR SADA,Independent,3749,Valmikinagar,3750,2.23,Sonbarsha
1128,Kalyanpur,Pipra,NOTA,None of the Above,1700,Valmikinagar,1701,1.01,Sonbarsha
1129,0,Valmikinagar,Alok Ranjan,Bharatiya Janata Party,103199,339,103538,45.59,Saharsa
1130,Valmikinagar,Ramnagar,Lovely Anand,Rashtriya Janata Dal,83022,837,83859,36.93,Saharsa
1131,Ramnagar,Narkatiaganj,Bidhan Chandra Jha,Nationalist Congress Party,1198,Valmikinagar,1199,0.53,Saharsa
1132,Narkatiaganj,Bagaha,Amar kant Vats urf Sohan Jha,Jantantrik Vikas Party,902,Lauriya,907,0.4,Saharsa
1133,Bagaha,Lauriya,Kamal Deo Sharma,"Log Jan Party - Secular,",734,Bagaha,738,0.32,Saharsa
1134,Lauriya,Nautan,Krishna Shekhar,Samajwadi Janata Dal Democratic,611,Ramnagar,613,0.27,Saharsa
1135,Nautan,Chanpatia,Ranjan Priyadarshi,Jan Adhikar Party (Loktantrik),1495,Raxaul,1505,0.66,Saharsa
1136,Chanpatia,Bettiah,Rajesh Kumar Jha,The Plurals Party,842,Narkatiaganj,845,0.37,Saharsa
1137,Bettiah,Sikta,Vimlesh Kumar Singh,Nationalist Janshakti Party,530,0,530,0.23,Saharsa
1138,Sikta,Raxaul,Amit Kumar,Independent,651,Chanpatia,658,0.29,Saharsa
1139,Raxaul,Sugauli,Kishor Kumar,Independent,12525,Manihari,12592,5.54,Saharsa
1140,Sugauli,Narkatia,Ranjit Kumar Rana,Independent,9938,Amour,9994,4.4,Saharsa
1141,Narkatia,Harsidhi (S.C),Birendra Kumar,Independent,1544,Valmikinagar,1545,0.68,Saharsa
1142,Harsidhi (S.C),Govindganj,Siyaram Paswan,Independent,3272,Bagaha,3276,1.44,Saharsa
1143,Govindganj,Kesaria,NOTA,None of the Above,5304,Narkatiaganj,5307,2.34,Saharsa
1144,0,Valmikinagar,YUSUF SALAHUDDIN,Rashtriya Janata Dal,75201,483,75684,38.48,Simri Bakhtiarpur
1145,Valmikinagar,Ramnagar,VINAY KUMAR MISHRA,Nationalist Congress Party,948,Valmikinagar,949,0.48,Simri Bakhtiarpur
1146,Ramnagar,Narkatiaganj,SANJAY KUMAR SINGH,Lok Jan Shakti Party,6940,Sheohar,6962,3.54,Simri Bakhtiarpur
1147,Narkatiaganj,Bagaha,SONA KUMAR,Bahujan Samaj Party,781,0,781,0.4,Simri Bakhtiarpur
1148,Bagaha,Lauriya,UPENDRA SAHANI,Rashtriya Jansambhavna Party,911,Valmikinagar,912,0.46,Simri Bakhtiarpur
1149,Lauriya,Nautan,UMESH CHANDRA BHARTI,Aadarsh Mithila Party,5295,Valmikinagar,5296,2.69,Simri Bakhtiarpur
1150,Nautan,Chanpatia,ZAFAR ALAM,Jan Adhikar Party (Loktantrik),3986,Sursand,4012,2.04,Simri Bakhtiarpur
1151,Chanpatia,Bettiah,DHIRENDRA CHOUDHARY,Aam Adhikar Morcha,2259,Valmikinagar,2260,1.15,Simri Bakhtiarpur
1152,Bettiah,Sikta,PARAS PASWAN,Bahujan Mukti Party,1543,Ramnagar,1545,0.79,Simri Bakhtiarpur
1153,Sikta,Raxaul,PINTU SHARMA,"Log Jan Party - Secular,",2134,Narkatiaganj,2137,1.09,Simri Bakhtiarpur
1154,Raxaul,Sugauli,MUKESH SAHANI,Vikassheel Insaan Party,73731,Arrah,73925,37.58,Simri Bakhtiarpur
1155,Sugauli,Narkatia,RAJESH KUMAR,Lokpriya Samaj Party,2158,Valmikinagar,2159,1.1,Simri Bakhtiarpur
1156,Narkatia,Harsidhi (S.C),SUNDARAM,Republican Party of India (Athawale),1704,0,1704,0.87,Simri Bakhtiarpur
1157,Harsidhi (S.C),Govindganj,HASHIM,Samta Dal (Pragatisheel),1243,Valmikinagar,1244,0.63,Simri Bakhtiarpur
1158,Govindganj,Kesaria,UPENDRA YADAV,Independent,1669,0,1669,0.85,Simri Bakhtiarpur
1159,Kesaria,Kalyanpur,KHAGESH KUMAR SAH,Independent,4748,Bagaha,4752,2.42,Simri Bakhtiarpur
1160,Kalyanpur,Pipra,DOMI SHARMA,Independent,2635,0,2635,1.34,Simri Bakhtiarpur
1161,Pipra,Madhuban,TARUN KUMAR JHA,Independent,546,0,546,0.28,Simri Bakhtiarpur
1162,Madhuban,Motihari,YOGAVIR ROY,Independent,440,Valmikinagar,441,0.22,Simri Bakhtiarpur
1163,Motihari,Chiraiya,RITESH RANJAN,Independent,2830,Raxaul,2840,1.44,Simri Bakhtiarpur
1164,Chiraiya,Dhaka,BANDAN KUMAR SINGH,Independent,479,0,479,0.24,Simri Bakhtiarpur
1165,Dhaka,Sheohar,SULENDRA DAS,Independent,2361,0,2361,1.2,Simri Bakhtiarpur
1166,Sheohar,Riga,NOTA,None of the Above,1406,Valmikinagar,1407,0.72,Simri Bakhtiarpur
1167,0,Valmikinagar,ABDUR RAZZAQUE,Lok Jan Shakti Party,22016,Muzaffarpur,22110,12.61,Mahishi
1168,Valmikinagar,Ramnagar,GUNJESHWAR SAH,Janata Dal (United),66125,Bikram,66316,37.83,Mahishi
1169,Ramnagar,Narkatiaganj,GAUTAM KRISHNA,Rashtriya Janata Dal,64153,533,64686,36.9,Mahishi
1170,Narkatiaganj,Bagaha,SHIVENDRA KUMAR,Rashtriya Lok Samta Party,3718,Harsidhi (S.C),3731,2.13,Mahishi
1171,Bagaha,Lauriya,"SUNIT KUMAR SINGH ""CHAUHAN""",Nationalist Congress Party,403,0,403,0.23,Mahishi
1172,Lauriya,Nautan,GUDDU KUMAR,Rashtra Sewa Dal,348,0,348,0.2,Mahishi
1173,Nautan,Chanpatia,TRIPURARI PRASAD SINGH,The Plurals Party,502,Valmikinagar,503,0.29,Mahishi
1174,Chanpatia,Bettiah,Nehal Akhtar,Mazdoor Ekta Party,628,Valmikinagar,629,0.36,Mahishi
1175,Bettiah,Sikta,MUNNA MANDAL,Rashtriya Samaj Paksha,413,0,413,0.24,Mahishi
1176,Sikta,Raxaul,MOHAMMAD ARSHAD HUSSAIN,Bahujan Maha Party,1233,0,1233,0.7,Mahishi
1177,Raxaul,Sugauli,RAJIV KUMAR YADAV,Bhartiya Sablog Party,856,0,856,0.49,Mahishi
1178,Sugauli,Narkatia,RAJIV DAS,Bhartiya Mahasangh Party,778,Ramnagar,780,0.44,Mahishi
1179,Narkatia,Harsidhi (S.C),MAHARUDRA JHA,Independent,1210,0,1210,0.69,Mahishi
1180,Harsidhi (S.C),Govindganj,YOGENDAR MUKHIYA,Independent,4742,Valmikinagar,4743,2.71,Mahishi
1181,Govindganj,Kesaria,RAMA SHANKAR SINGH,Independent,4337,Valmikinagar,4338,2.47,Mahishi
1182,Kesaria,Kalyanpur,NOTA,None of the Above,3005,Narkatiaganj,3008,1.72,Mahishi
1183,0,Valmikinagar,Dr. ASHOK KUMAR,Indian National Congress,46576,Bankipur,46758,34.26,Kusheshwar Asthan
1184,Valmikinagar,Ramnagar,POONAM KUMARI,Lok Jan Shakti Party,13343,Motihari,13362,9.79,Kusheshwar Asthan
1185,Ramnagar,Narkatiaganj,LAXMI PASWAN,Rashtriya Lok Samta Party,2060,0,2060,1.51,Kusheshwar Asthan
1186,Narkatiaganj,Bagaha,SHASHIBHUSHAN HAJARI,Janata Dal (United),53952,Sitamarhi,53980,39.55,Kusheshwar Asthan
1187,Bagaha,Lauriya,ABDHESH PASWAN,Satya Bahumat Party,877,0,877,0.64,Kusheshwar Asthan
1188,Lauriya,Nautan,ANAND KUMAR,Rashtriya Jan Kalyan Party Secular,738,0,738,0.54,Kusheshwar Asthan
1189,Nautan,Chanpatia,CHAND DEVI,Wazib Adhikar Party,589,Valmikinagar,590,0.43,Kusheshwar Asthan
1190,Chanpatia,Bettiah,JAY JAY RAM,Aam Janta Party Rashtriya,471,0,471,0.35,Kusheshwar Asthan
1191,Bettiah,Sikta,DROPADI DEVI,Mazdoor Ekta Party,684,0,684,0.5,Kusheshwar Asthan
1192,Sikta,Raxaul,MURARI PASWAN,Jan Adhikar Party (Loktantrik),1804,Valmikinagar,1805,1.32,Kusheshwar Asthan
1193,Raxaul,Sugauli,RENU RAJ,Rashtriya Janvikas Party (Democratic),1152,0,1152,0.84,Kusheshwar Asthan
1194,Sugauli,Narkatia,LAL MOHAR SADA,"Log Jan Party - Secular,",2116,Valmikinagar,2117,1.55,Kusheshwar Asthan
1195,Narkatia,Harsidhi (S.C),KAMESHWAR RAM,Independent,3864,0,3864,2.83,Kusheshwar Asthan
1196,Harsidhi (S.C),Govindganj,GANESH KUMAR,Independent,1392,0,1392,1.02,Kusheshwar Asthan
1197,Govindganj,Kesaria,YOGI CHAUPAL,Independent,3487,Ramnagar,3489,2.56,Kusheshwar Asthan
1198,Kesaria,Kalyanpur,NOTA,None of the Above,3142,0,3142,2.3,Kusheshwar Asthan
1199,0,Valmikinagar,AFZAL ALI KHAN,Rashtriya Janata Dal,51970,288,52258,36.21,Gaura Bauram
1200,Valmikinagar,Ramnagar,TAMANNA KHAN,Nationalist Congress Party,1018,Valmikinagar,1019,0.71,Gaura Bauram
1201,Ramnagar,Narkatiaganj,RAJEEV KUMAR THAKUR,Lok Jan Shakti Party,9111,Narkatia,9123,6.32,Gaura Bauram
