,osn,candidate,party,evm_votes,postal_votes,total_votes,percentage_votes,contituencty
0,1,Dhirendra Pratap Singh alias Rinku singh,Janata Dal (United),74777,129,74906,38.32,1
1,2,Baidyanath Prasad,Bahujan Samaj Party,14475,23,14498,7.42,1
2,3,Mahendra Kumar Bharti,Lok Jan Shakti Party,6602,10,6612,3.38,1
3,4,Rajesh Singh,Indian National Congress,52952,369,53321,27.28,1
4,5,Gaurav Jha,The Plurals Party,2862,1,2863,1.46,1
5,6,Deepak Kumar Malakar,Bhartiya Party (Loktantrik),4279,0,4279,2.19,1
6,7,Saket Kumar Pathak,"Jan Sangharsh Dal,",2733,2,2735,1.4,1
7,8,Sumant Kumar,Jan Adhikar Party (Loktantrik),18372,37,18409,9.42,1
8,9,Kumari Rajwanti Kushwaha,Independent,1992,4,1996,1.02,1
9,10,Tirthraj Yadav,Independent,2512,3,2515,1.29,1
10,11,Mahmad Jalil,Independent,2655,2,2657,1.36,1
11,12,Rajesh Kumar,Independent,2607,1,2608,1.33,1
12,13,NOTA,None of the Above,8088,2,8090,4.14,1
0,1,Bhagirathi Devi,Bharatiya Janata Party,75360,63,75423,39.57,2
1,2,Rajesh Ram,Indian National Congress,59273,354,59627,31.28,2
2,3,Lokesh Ram,Rashtriya Lok Samta Party,4048,3,4051,2.13,2
3,4,Champa Devi,The Plurals Party,1409,3,1412,0.74,2
4,5,Lorik Das,Fauji Kisan Party,4329,2,4331,2.27,2
5,6,Vinay Ram,Janta Dal Rashtravadi,3213,2,3215,1.69,2
6,7,Subodh Kumar,Bhartiya Panchyat Party,26029,34,26063,13.67,2
7,8,Awadh Kishor Ram,Independent,3109,2,3111,1.63,2
8,9,Ayush Kumar,Independent,2670,1,2671,1.4,2
9,10,Ramnaresh Baitha,Independent,2454,6,2460,1.29,2
10,11,Ramayan Paswan,Independent,3791,2,3793,1.99,2
11,12,NOTA,None of the Above,4453,3,4456,2.34,2
0,1,NAUSHAD AHMAD,Lok Jan Shakti Party,5400,8,5408,3.29,3
1,2,MANJEET KUMAR VERMA,Rashtriya Lok Samta Party,2911,2,2913,1.77,3
2,3,MOHAMMAD RASHID AZIM,Nationalist Congress Party,1291,3,1294,0.79,3
3,4,RASHMI VARMA,Bharatiya Janata Party,75345,139,75484,45.85,3
4,5,VINAY VARMA,Indian National Congress,53826,524,54350,33.02,3
5,6,ANUP KUMAR MISHRA,The Plurals Party,958,1,959,0.58,3
6,7,AFSAR IMAM,Jan Adhikar Party (Loktantrik),1250,5,1255,0.76,3
7,8,AVINASH KUMAR,Bhartiya Sablog Party,673,1,674,0.41,3
8,9,GULREZ HODA,"Jan Sangharsh Dal,",1109,4,1113,0.68,3
9,10,MUKESH KUMAR,Bharat Jan Jagran Dal,692,1,693,0.42,3
10,11,MUNNA SINGH,Fauji Kisan Party,948,0,948,0.58,3
11,12,RAMCHANDRA MAHTO,Jai Maha Bharath Party,1147,1,1148,0.7,3
12,13,VIJAY RAM,Janta Dal Rashtravadi,979,0,979,0.59,3
13,14,ANIL KUMAR MISHRA,Independent,1420,9,1429,0.87,3
14,15,NAZNIM KHANAM,Independent,994,4,998,0.61,3
15,16,NATHU RAVI,Independent,2047,4,2051,1.25,3
16,17,BABLU KUMAR GUPTA,Independent,1805,0,1805,1.1,3
17,18,MITHLESH TIWARY,Independent,1085,3,1088,0.66,3
18,19,RUPN SINGH,Independent,705,0,705,0.43,3
19,20,RENU DEVI,Independent,7638,36,7674,4.66,3
20,21,NOTA,None of the Above,1645,2,1647,1,3
0,1,JAYESH MANGLAM SINGH,Indian National Congress,59388,605,59993,33,4
1,2,RAM SINGH,Bharatiya Janata Party,89882,131,90013,49.51,4
2,3,ATUL KUMAR SHUKLA,Lok Shakti Party (Loktantrik),2363,1,2364,1.3,4
3,4,UMESH GUPTA,Rashtriya Jansambhavna Party,1621,1,1622,0.89,4
4,5,DALSINGAR RAM,Bahujan Maha Party,862,0,862,0.47,4
5,6,DURGESH SINGH CHAUHAN,Bihar Lok Nirman Dal,1159,3,1162,0.64,4
6,7,PURNMASI RAM,"Jan Sangharsh Dal,",3626,23,3649,2.01,4
7,8,MANOJ KUMAR,Bharat Jan Jagran Dal,1446,0,1446,0.8,4
8,9,RADHESHYAM YADAV,Fauji Kisan Party,1442,2,1444,0.79,4
9,10,SHESH NATH CHAUDHARY,Bhartiya Rashtriya Dal,1404,2,1406,0.77,4
10,11,SITA SHAH,The Plurals Party,1031,1,1032,0.57,4
11,12,SURESH MUKHIYA,Janvadi Party(Socialist),2597,3,2600,1.43,4
12,13,KAMRAN AZIZ,Independent,3067,10,3077,1.69,4
13,14,MANOJ KUMAR RAO,Independent,1243,1,1244,0.68,4
14,15,RAGHAW SHARAN PANDEY,Independent,6381,48,6429,3.54,4
15,16,NOTA,None of the Above,3454,2,3456,1.9,4
0,1,Ran Kaushal Pratap Singh,Bahujan Samaj Party,17487,28,17515,11.12,5
1,2,Vinay Bihari,Bharatiya Janata Party,77852,75,77927,49.48,5
2,3,Shambhu Tiwari,Rashtriya Janata Dal,48680,243,48923,31.06,5
3,4,Ajitesh Kumar,The Plurals Party,1462,0,1462,0.93,5
4,5,Abdul Quyum,"Jan Sangharsh Dal,",1163,2,1165,0.74,5
5,6,Ranjit Kumar,Janta Dal Rashtravadi,1088,0,1088,0.69,5
6,7,Sima Devi,Jan Adhikar Party (Loktantrik),1204,2,1206,0.77,5
7,8,Kamlesh Singh,Independent,1394,0,1394,0.89,5
8,9,Doctor Mahto,Independent,1541,0,1541,0.98,5
9,10,Neelam Singh,Independent,1906,0,1906,1.21,5
10,11,NOTA,None of the Above,3367,1,3368,2.14,5
0,1,NANDKISHOR PRASAD,Rashtriya Lok Samta Party,4573,14,4587,2.74,6
1,2,NARAYAN PRASAD,Bharatiya Janata Party,78543,114,78657,46.97,6
2,3,SHEIKH MOHAMMAD KAMRAN,Indian National Congress,52437,324,52761,31.51,6
3,4,JAY PRAKASH SINGH KUSHWAHA,The Plurals Party,1164,5,1169,0.7,6
4,5,PUNYADEO PRASAD,Jagrook Janta Party,586,6,592,0.35,6
5,6,YADAVENDRA KUMAR,Jan Adhikar Party (Loktantrik),1101,2,1103,0.66,6
6,7,MD. SHAHNAWAZ,"Jan Sangharsh Dal,",951,1,952,0.57,6
7,8,SURENDRA CHOUDHARY,Janta Dal Rashtravadi,537,1,538,0.32,6
8,9,ADARSH KUMAR,Independent,859,1,860,0.51,6
9,10,PRIYA RANJAN,Independent,1088,1,1089,0.65,6
10,11,MANORAMA PRASAD,Independent,15357,64,15421,9.21,6
11,12,RATAN KUMAR SARKAR,Independent,825,2,827,0.49,6
12,13,LALAN RAI,Independent,1285,6,1291,0.77,6
13,14,VIKASH KUMAR PRASAD,Independent,3967,0,3967,2.37,6
14,15,SHUBHAM KUMAR DUBEY,Independent,1823,1,1824,1.09,6
15,16,NOTA,None of the Above,1808,5,1813,1.08,6
0,1,Abhishek Ranjan,Indian National Congress,69940,419,70359,40.03,7
1,2,Umakant Singh,Bharatiya Janata Party,83620,208,83828,47.69,7
2,3,Santosh Kumar Gupta,Rashtriya Lok Samta Party,3520,6,3526,2.01,7
3,4,Ravisagar Bharati,Aazad Samaj Party (Kanshi Ram),727,3,730,0.42,7
4,5,Rajeev Ranjan,The Plurals Party,297,0,297,0.17,7
5,6,Bipin Nath Tiwari Alias Bipin Tiwari,Loktantrik Jan Swaraj Party,336,3,339,0.19,7
6,7,Shekh Firoz,Vanchit Samaj Party,689,1,690,0.39,7
7,8,Sanjay Ram,Proutist Sarva Samaj,321,1,322,0.18,7
8,9,Om Prakash Jaiswal,Independent,344,2,346,0.2,7
9,10,Tripurari Kr. Tiwari @ Manish kasyap,Independent,9207,32,9239,5.26,7
10,11,Munna Singh,Independent,873,2,875,0.5,7
11,12,Ramayan Yadav,Independent,937,1,938,0.53,7
12,13,Sheshnath Bharti,Independent,1374,1,1375,0.78,7
13,14,NOTA,None of the Above,2907,3,2910,1.66,7
0,1,Parwez Alam,Nationalist Congress Party,1183,9,1192,0.75,8
1,2,Madan Mohan Tiwari,Indian National Congress,65864,553,66417,41.53,8
2,3,Renu Devi,Bharatiya Janata Party,84239,257,84496,52.83,8
3,4,Avkash Kumar Gupta,The Plurals Party,1556,3,1559,0.97,8
4,5,Nand Lal Prasad,Apna Kisan Party,607,3,610,0.38,8
5,6,Barkat Ahmad,"Jan Sangharsh Dal,",421,4,425,0.27,8
6,7,Yuvraj Navin Singh,Bhartiya Panchyat Party,543,3,546,0.34,8
7,8,Savita Singh Nepali,Jan Adhikar Party (Loktantrik),675,2,677,0.42,8
8,9,Sitaram Sahani,Rashtriya mahan Gantantra Party,1012,0,1012,0.63,8
9,10,Sameer Hasen,Independent,980,1,981,0.61,8
10,11,NOTA,None of the Above,2009,8,2017,1.26,8
0,1,KHURSHID FIROZ AHMAD,Janata Dal (United),35713,85,35798,21.05,9
1,2,MAINUDDIN ALAM,Nationalist Congress Party,2018,5,2023,1.19,9
2,3,AKHILESHWAR PRASAD ALIAS JHUNU,Bhartiya Panchyat Party,3306,6,3312,1.95,9
3,4,AASMA KHATOON,"Jan Sangharsh Dal,",1308,1,1309,0.77,9
4,5,TAMNNA KHATUN,The Plurals Party,2234,3,2237,1.32,9
5,6,MALKHAN SINGH,Janata Congress,1612,1,1613,0.95,9
6,7,RAJESH PASWAN,Peoples Party of India (Democratic),2362,0,2362,1.39,9
7,8,RIJABANULLAH ALIAS RIZWAN RIYAZI,All India Majlis-E-Ittehadul Muslimeen,8511,8,8519,5.01,9
8,9,BIRENDRA PRASAD GUPTA,Communist Party of India  (Marxist-Leninist)  (Liberation),48730,345,49075,28.85,9
9,10,SANDEEP PATEL,Jan Adhikar Party,1393,0,1393,0.82,9
10,11,GHAUSUL AZAM,Independent,2458,3,2461,1.45,9
11,12,DILIP VARMA,Independent,46650,123,46773,27.5,9
12,13,RAMJEE PRASAD,Independent,1745,1,1746,1.03,9
13,14,WASI AHMAD,Independent,2682,4,2686,1.58,9
14,15,VINAY KUMAR YADAV,Independent,4151,9,4160,2.45,9
15,16,HARDEV RAM,Independent,2588,0,2588,1.52,9
16,17,NOTA,None of the Above,2021,1,2022,1.19,9
0,1,Dr. Ajay Kumar Singh,Bahujan Samaj Party,12193,74,12267,6.91,10
1,2,Pramod Kumar Sinha,Bharatiya Janata Party,80794,185,80979,45.6,10
2,3,Rambabu Prashad Yadav,Indian National Congress,43700,356,44056,24.81,10
3,4,Umang Kumar Gupta,Jai Maha Bharath Party,941,1,942,0.53,10
4,5,Kundan Kumar,The Plurals Party,687,7,694,0.39,10
5,6,Devendra Kumar Singh,Rashtra Sewa Dal,478,1,479,0.27,10
6,7,Bablu Kumar,Janata Congress,384,0,384,0.22,10
7,8,Haider Ali,Janta Dal Rashtravadi,563,2,565,0.32,10
8,9,Arbind Prasad Sah,Independent,2193,4,2197,1.24,10
9,10,Bhulan Kumar,Independent,444,3,447,0.25,10
10,11,Madan Prasad,Independent,957,3,960,0.54,10
11,12,Mustaque Ali,Independent,2236,0,2236,1.26,10
12,13,Suresh Kumar,Independent,28523,70,28593,16.1,10
13,14,NOTA,None of the Above,2783,1,2784,1.57,10
0,1,Vijay Prasad Gupta,Lok Jan Shakti Party,14117,71,14188,8.32,11
1,2,Er. Shashi Bhushan Singh,Rashtriya Janata Dal,64757,510,65267,38.26,11
2,3,Sant Singh Kushwaha,Rashtriya Lok Samta Party,6677,33,6710,3.93,11
3,4,Asha Devi,Hindu Samaj Party,1178,3,1181,0.69,11
4,5,Zulfiquar Aftab,Janta Dal Rashtravadi,1550,0,1550,0.91,11
5,6,Mahmad Sohail Sahil,Jan Adhikar Party (Loktantrik),904,13,917,0.54,11
6,7,Ramchandra Sahni,Vikassheel Insaan Party,61712,108,61820,36.24,11
7,8,Vinod Kumar Mahto,Jago Hindustan Party,2497,2,2499,1.46,11
8,9,Shekh Alauddin,"Jan Sangharsh Dal,",1973,0,1973,1.16,11
9,10,Sadre Alam,All India Minorities Front,3430,1,3431,2.01,11
10,11,Akhilesh Kumar Mishra,Independent,2388,5,2393,1.4,11
11,12,Anita Devi,Independent,1079,0,1079,0.63,11
12,13,Amrit Raj,Independent,1850,4,1854,1.09,11
13,14,Vishnu Prasad Gupta,Independent,1558,0,1558,0.91,11
14,15,Shekh Manjar Hussain,Independent,1970,0,1970,1.15,11
15,16,NOTA,None of the Above,2191,2,2193,1.29,11
0,1,SHAMIM AHMAD,Rashtriya Janata Dal,84970,592,85562,46.69,12
1,2,SHYAM BIHARI PRASAD,Janata Dal (United),57593,178,57771,31.53,12
2,3,SONU KUMAR,Lok Jan Shakti Party,20446,48,20494,11.18,12
3,4,ASHARFI PANDIT,Proutist Sarva Samaj,878,0,878,0.48,12
4,5,OM PRAKASH GUPTA,Janta Dal Rashtravadi,986,2,988,0.54,12
5,6,RAVI SHANKAR RAVI,Jan Adhikar Party (Loktantrik),609,1,610,0.33,12
6,7,RAJ KISHOR KUMAR,Lok Shakti Party (Loktantrik),397,1,398,0.22,12
7,8,UMASHANKAR PRASAD,Independent,299,0,299,0.16,12
8,9,MANISH KUMAR,Independent,388,0,388,0.21,12
9,10,MOHAMMAD TAIYAB,Independent,966,2,968,0.53,12
10,11,VIDYANAND PRASAD,Independent,1704,2,1706,0.93,12
11,12,SANJAY KUMAR,Independent,2100,4,2104,1.15,12
12,13,SURESH PRASAD YADAV,Independent,6135,14,6149,3.36,12
13,14,NOTA,None of the Above,4935,1,4936,2.69,12
0,1,Kumar Nagendra Bihari,Rashtriya Janata Dal,68360,570,68930,40.5,13
1,2,Krishnanandan Paswan,Bharatiya Janata Party,84431,184,84615,49.71,13
2,3,Ramesh Kumar,Rashtriya Lok Samta Party,10478,45,10523,6.18,13
3,4,Sunil Kumar,Nationalist Congress Party,533,0,533,0.31,13
4,5,Satya Prakash,Peoples Party of India (Democratic),375,0,375,0.22,13
5,6,Jagdish Ram,Independent,615,2,617,0.36,13
6,7,Dinesh Kumar Chaudhary,Independent,1674,0,1674,0.98,13
7,8,NOTA,None of the Above,2931,7,2938,1.73,13
0,1,BRAJESH KUMAR,Indian National Congress,37620,0,37620,24.81,14
1,2,RAJU TIWARI,Lok Jan Shakti Party,31300,0,31300,20.64,14
2,3,VISWANATH PRASAD,Bahujan Samaj Party,3250,0,3250,2.14,14
3,4,SUNIL MANI TIWARI,Bharatiya Janata Party,65544,0,65544,43.22,14
4,5,PAPPU GIRI,Yuva Krantikari Party,1616,0,1616,1.07,14
5,6,MANORANJAN KUMAR MISHRA,The Plurals Party,481,0,481,0.32,14
6,7,ASHOK SINGH,Independent,518,0,518,0.34,14
7,8,YUVRAJ PANDEY,Independent,1404,0,1404,0.93,14
8,9,RANJAY RAI,Independent,1990,0,1990,1.31,14
9,10,VIPIN KANT TIWARI,Independent,1626,0,1626,1.07,14
10,11,SARVESH KUMAR TIWARI,Independent,3301,0,3301,2.18,14
11,12,NOTA,None of the Above,3002,0,3002,1.98,14
0,1,Abhay Kumar Singh,Bahujan Samaj Party,2121,10,2131,1.41,15
1,2,Maheshwar Singh,Rashtriya Lok Samta Party,18495,81,18576,12.28,15
2,3,Ram Sharn Prasad Yadav,Lok Jan Shakti Party,18839,65,18904,12.5,15
3,4,Shalini Mishra,Janata Dal (United),40093,126,40219,26.59,15
4,5,Santosh Kushwha,Rashtriya Janata Dal,30741,251,30992,20.49,15
5,6,Azharuddin Khan,"Jan Sangharsh Dal,",907,1,908,0.6,15
6,7,Anu Vivek,The Plurals Party,616,3,619,0.41,15
7,8,Ambesh Kumar Yadav,Rashtriya Janwadi Party (Socialist),599,1,600,0.4,15
8,9,Krishna Kumar Jaiswal,Rashtra Sewa Dal,580,1,581,0.38,15
9,10,Brajesh Mishra,Hindu Samaj Party,721,0,721,0.48,15
10,11,Rajanish Kumar Pathak,Jan Adhikar Party (Loktantrik),7188,29,7217,4.77,15
11,12,Ram Adhar Rai,Bahujan Nyay Dal,2020,0,2020,1.34,15
12,13,Amrendra Kumar Verma,Independent,2554,1,2555,1.69,15
13,14,Ravindra Kumar Berwar,Independent,3633,2,3635,2.4,15
14,15,Dr. Rajesh Kumar,Independent,17658,71,17729,11.72,15
15,16,Rajesh Yadav,Independent,1876,1,1877,1.24,15
16,17,Varun Vijay,Independent,511,1,512,0.34,15
17,18,NOTA,None of the Above,1483,0,1483,0.98,15
0,1,Manoj Kumar Yadav,Rashtriya Janata Dal,72236,583,72819,45.35,16
1,2,Mohammad Badiuzzaman,Bahujan Samaj Party,6335,32,6367,3.97,16
2,3,Sachindra Prasad Singh,Bharatiya Janata Party,71384,242,71626,44.61,16
3,4,Mala Thakur,Janta Dal Rashtravadi,1992,14,2006,1.25,16
4,5,Satyam Yadav,Jan Adhikar Party (Loktantrik),478,0,478,0.3,16
5,6,Subodh Kumar Thakur,Bhartiya Vikash Dal United,430,0,430,0.27,16
6,7,Muneshwar Tiwari,Independent,523,1,524,0.33,16
7,8,Rajesh Kumar Singh,Independent,1623,0,1623,1.01,16
8,9,Rituraj Pandey,Independent,1790,7,1797,1.12,16
9,10,NOTA,None of the Above,2883,4,2887,1.8,16
0,1,RAJMANGAL PRASAD,Communist Party of India  (Marxist),79753,657,80410,40.1,17
1,2,SHYAMBABU PRASAD YADAV,Bharatiya Janata Party,88358,229,88587,44.18,17
2,3,SUBHASH SINGH KUSHWAHA,Rashtriya Lok Samta Party,3225,18,3243,1.62,17
3,4,ANKUSH KUMAR SINGH,Jan Adhikar Party (Loktantrik),1227,6,1233,0.61,17
4,5,ANIKET RANJAN,Rashtriya Jan Jan Party,2827,25,2852,1.42,17
5,6,TUPTI KUMARI,Janta Dal Rashtravadi,687,2,689,0.34,17
6,7,RANI KUMARI,Swabhiman Party,572,0,572,0.29,17
7,8,RAMCHANDRA SAH,Rashtriya Jansambhavna Party,884,0,884,0.44,17
8,9,LALIT KUMAR SINGH,Bahujan Mukti Party,555,2,557,0.28,17
9,10,AJAY KUMAR SHUKLA,Independent,552,3,555,0.28,17
10,11,AFZAL,Independent,667,4,671,0.33,17
11,12,AWADHESH Pd KUSHWAHA,Independent,6901,39,6940,3.46,17
12,13,ASHOK KUMAR SUMAN,Independent,1085,0,1085,0.54,17
13,14,MD. MUMTAZ ALAM,Independent,2184,1,2185,1.09,17
14,15,SHYAM NANDAN KUMAR,Independent,3693,1,3694,1.84,17
15,16,NOTA,None of the Above,6339,5,6344,3.16,17
0,1,Madan Prasad,Rashtriya Janata Dal,66831,470,67301,43.86,18
1,2,Rana Randhir,Bharatiya Janata Party,72946,233,73179,47.69,18
2,3,Shiv Shankar Ray,Bahujan Samaj Party,1250,1,1251,0.82,18
3,4,Aysa Khatoon,"Jan Sangharsh Dal,",376,2,378,0.25,18
4,5,Jagdish Prasad,Bajjikanchal Vikas Party,340,0,340,0.22,18
5,6,Rajesh Kumar Singh,Janta Dal Rashtravadi,416,1,417,0.27,18
6,7,Vikash Keshari,The Plurals Party,427,0,427,0.28,18
7,8,Shivjee Ray,Jan Adhikar Party (Loktantrik),2078,4,2082,1.36,18
8,9,Sanjay Tiwari,Bhartiya Aam Janta Vikas Party,416,0,416,0.27,18
9,10,Dinesh Ram,Independent,384,0,384,0.25,18
10,11,Madan Singh Alias Madan Prasad,Independent,902,0,902,0.59,18
11,12,Shashi Ranjan Kumar,Independent,2639,0,2639,1.72,18
12,13,NOTA,None of the Above,3731,1,3732,2.43,18
0,1,OM PRAKASH CHAUDHARY,Rashtriya Janata Dal,77361,727,78088,41.63,19
1,2,DEEPAK KUMAR KUSHWAHA,Rashtriya Lok Samta Party,3692,24,3716,1.98,19
2,3,PRAMOD KUMAR,Bharatiya Janata Party,92348,385,92733,49.44,19
3,4,ASHOK KUMAR,"Jan Sangharsh Dal,",1060,0,1060,0.57,19
4,5,ASHWINI KUMAR GUPTA,Akhand Bhartiya Yuva Party,213,0,213,0.11,19
5,6,PANKAJ KUMAR SRIVASTAV,Jantantrik Vikas Party,211,0,211,0.11,19
6,7,PRAKASH CHANDRA MANU,Rashtriya Jan Jan Party,363,1,364,0.19,19
7,8,PRABHU NANDAN PRASAD,Janata Party,669,7,676,0.36,19
8,9,BAIJU KUMAR,Rashtra Sewa Dal,293,0,293,0.16,19
9,10,MUNNA KUMAR,The Plurals Party,651,11,662,0.35,19
10,11,HARISHCHANDRA PANDIT,Vanchit Samaj Party,375,0,375,0.2,19
11,12,ABHISHEK KUMAR SINGH,Independent,597,2,599,0.32,19
12,13,ZALALUDDIN ROY,Independent,1846,1,1847,0.98,19
13,14,RAMESHVAR SAH,Independent,3255,8,3263,1.74,19
14,15,NOTA,None of the Above,3436,19,3455,1.84,19
0,1,Achchhelal  Prasad,Rashtriya Janata Dal,45578,452,46030,27.53,20
1,2,Pawan Kumar Singh,National People's Party,649,0,649,0.39,20
2,3,Madhurendra Kumar Singh,Rashtriya Lok Samta Party,4504,14,4518,2.7,20
3,4,Lal Babu Prasad Gupta,Bharatiya Janata Party,62794,110,62904,37.62,20
4,5,Abhinav Bharti,The Plurals Party,1416,16,1432,0.86,20
5,6,Usha Rani,"Bhartiya Garibmazdoor Party,",464,0,464,0.28,20
6,7,Jalaluddin Ahamad,Rashtriya Jan-Jagran Morcha,262,0,262,0.16,20
7,8,Bhushan Shah,Fauji Kisan Party,695,1,696,0.42,20
8,9,Mohammad Firoj Ahmad,"Jan Sangharsh Dal,",664,4,668,0.4,20
9,10,Lalsa Devi,Jan Adhikar Party (Loktantrik),1066,2,1068,0.64,20
10,11,Vijay Singh,Janta Dal Rashtravadi,656,0,656,0.39,20
11,12,Sanjay Kumar,Shiv Sena,785,4,789,0.47,20
12,13,Sudhir Kumar Singh,Bhartiya Aam Janta Vikas Party,1255,0,1255,0.75,20
13,14,Suresh Kumar,Lok Shakti Party (Loktantrik),570,0,570,0.34,20
14,15,Akhileshwar Kumar,Independent,742,3,745,0.45,20
15,16,Avaneesh Kumar Singh,Independent,11398,32,11430,6.84,20
16,17,Prabhash Ranjan Urf Chandan,Independent,1917,6,1923,1.15,20
17,18,Fahim Hussain,Independent,321,0,321,0.19,20
18,19,Raj Vanshi Mahato,Independent,987,0,987,0.59,20
19,20,Radhakant sah,Independent,1355,0,1355,0.81,20
20,21,Laxmi Narayan Prasad Yadav,Independent,16283,112,16395,9.81,20
21,22,Sanjay Kumar,Independent,9227,46,9273,5.55,20
22,23,Sanjay Kumar Yadav,Independent,470,0,470,0.28,20
23,24,Hiralal Ray,Independent,804,1,805,0.48,20
24,25,NOTA,None of the Above,1525,1,1526,0.91,20
0,1,PAWAN KUMAR JAISWAL,Bharatiya Janata Party,99533,259,99792,48.01,21
1,2,FAISAL RAHMAN,Rashtriya Janata Dal,89137,541,89678,43.15,21
2,3,RAM PUKAR SINHA,Rashtriya Lok Samta Party,10907,25,10932,5.26,21
3,4,ABHIJIT SINGH,Jan Adhikar Party (Loktantrik),965,1,966,0.46,21
4,5,DR. RAJAN JAISWAL,The Plurals Party,874,1,875,0.42,21
5,6,RAMKRIT PASWAN,"Jan Sangharsh Dal,",250,0,250,0.12,21
6,7,MD. KASIM ANSARI,Independent,498,1,499,0.24,21
7,8,CHANDRADIP KUMAR,Independent,570,0,570,0.27,21
8,9,MD SALIM MANSURI,Independent,1313,0,1313,0.63,21
9,10,NOTA,None of the Above,2959,6,2965,1.43,21
0,1,CHETAN ANAND,Rashtriya Janata Dal,72818,325,73143,42.69,22
1,2,VIJAY KUMAR PANDEY,Lok Jan Shakti Party,18704,44,18748,10.94,22
2,3,MD. SHARFUDDIN,Janata Dal (United),36357,100,36457,21.28,22
3,4,SANJEEV KUMAR GUPTA,Bahujan Samaj Party,4040,9,4049,2.36,22
4,5,AMRENDRA KUMAR,Bajjikanchal Vikas Party,1049,0,1049,0.61,22
5,6,NATHUNI MAHTO,All India Forward Bloc,798,12,810,0.47,22
6,7,MOHAMAD MANTJIR ALAM,Rashtriya Secular Majlis Party,940,0,940,0.55,22
7,8,MOHAMMED WAMIQUE,Jan Adhikar Party (Loktantrik),3396,19,3415,1.99,22
8,9,RANJEEV KUMAR JHA,The Plurals Party,1246,2,1248,0.73,22
9,10,SHRINARAYAN SINGH,Janta Dal Rashtravadi,3940,12,3952,2.31,22
10,11,SANJAY PRASAD,Rashtriya Jansambhavna Party,1171,2,1173,0.68,22
11,12,ANGESH KUMAR,Independent,1489,0,1489,0.87,22
12,13,RADHA KANT GUPTA,Independent,14157,21,14178,8.28,22
13,14,VIRENDRA PRA. YADAV,Independent,4029,1,4030,2.35,22
14,15,Sanjay Sangharsh Singh,Independent,2930,4,2934,1.71,22
15,16,NOTA,None of the Above,3710,1,3711,2.17,22
0,1,AMIT KUMAR,Indian National Congress,62250,481,62731,34.96,23
1,2,MUNNI SINGH,Bahujan Samaj Party,4242,13,4255,2.37,23
2,3,MOTI LAL PRASAD,Bharatiya Janata Party,95101,125,95226,53.07,23
3,4,RAMBABU SAH S/O-SHRI NATHUNI SAH,Nationalist Congress Party,1410,0,1410,0.79,23
4,5,AKHILESH KUMAR SUMAN,Samata Party,454,1,455,0.25,23
5,6,UPENDRA SAHANI,Rashtriya Jansambhavna Party,618,0,618,0.34,23
6,7,GHUFRAN ASAD,"Jan Sangharsh Dal,",564,1,565,0.31,23
7,8,BINDESHWAR SAH,Prabal Bharat Party,297,0,297,0.17,23
8,9,BHARAT PATEL,Jai Maha Bharath Party,246,0,246,0.14,23
9,10,MOHAN SINGH,Rashtriya Janshakti Party (Secular),702,2,704,0.39,23
10,11,RAVI KUMAR,The Plurals Party,632,2,634,0.35,23
11,12,RAVI SHANKAR PRASAD,Jan Adhikar Party (Loktantrik),623,0,623,0.35,23
12,13,BINDESHWAR MAHTO,Republican Party of India (Athawale),630,0,630,0.35,23
13,14,SAMSUDDIN ANSARI,Bahujan Mukti Party,2340,3,2343,1.31,23
14,15,ABHISHEK RAJA,Independent,667,0,667,0.37,23
15,16,GIRDHARI SAH,Independent,2617,0,2617,1.46,23
16,17,CHANDRIKA PRASAD,Independent,1574,0,1574,0.88,23
17,18,DILIP KUMAR SHRIVASTAV,Independent,358,0,358,0.2,23
18,19,DEVENDRA KUMAR SINHA,Independent,1582,1,1583,0.88,23
19,20,BRAHMDEV NAYAK,Independent,403,0,403,0.22,23
20,21,MOTI LAL RAUT,Independent,449,0,449,0.25,23
21,22,"RAM BABU SAH, S/O- NEWALAL SAH",Independent,224,0,224,0.12,23
22,23,NOTA,None of the Above,830,7,837,0.47,23
0,1,ANIL KUMAR,Bharatiya Janata Party,92426,222,92648,54.15,24
1,2,CHANDRIKA PASWAN,Rashtriya Lok Samta Party,15259,63,15322,8.96,24
2,3,SANJAY RAM,Indian National Congress,45290,540,45830,26.79,24
3,4,KUNKUN MANJHI,Peoples Party of India (Democratic),950,3,953,0.56,24
4,5,RAVI RANJAN PASWAN,Janata Party,462,1,463,0.27,24
5,6,RAJESH PASWAN,Rashtriya Jansambhavna Party,623,0,623,0.36,24
6,7,VIJAY PASWAN,Kisan Party of India,469,0,469,0.27,24
7,8,SHANKAR KUMAR PASWAN,Rashtrawadi Janlok Party (Satya),459,1,460,0.27,24
8,9,SHIV MANGAL PASWAN,Bahujan Mukti Party,627,2,629,0.37,24
9,10,ANITA DEVI,Independent,578,2,580,0.34,24
10,11,KUMAR PURUSHOTTAM,Independent,638,1,639,0.37,24
11,12,RAMPHL SADA,Independent,1863,2,1865,1.09,24
12,13,LALU DAS,Independent,2481,1,2482,1.45,24
13,14,VIJAY KUMAR BAITHA,Independent,2887,3,2890,1.69,24
14,15,NOTA,None of the Above,5238,2,5240,3.06,24
0,1,Amjad Hussain Anwar,Rashtriya Lok Samta Party,9947,21,9968,5.77,25
1,2,Gaytri Devi,Bharatiya Janata Party,73343,77,73420,42.52,25
