,osn,candidate,party,evm_votes,postal_votes,total_votes,percentage_votes,contituencty
6,7,PARMA NAND YADAV,Jan Adhikar Party (Loktantrik),3160,22,3182,1.72,199
7,8,RANJAN KUMAR TIWARY,Rashtrawadi Jansangh,454,11,465,0.25,199
8,9,RAMESH KUMAR,Vanchit Samaj Party,1193,4,1197,0.65,199
9,10,TEJ NARAYAN TIWARI,Independent,858,8,866,0.47,199
10,11,NIRANJAN KUMAR SINGH,Independent,920,5,925,0.5,199
11,12,NILESH KUMAR RAHUL,Independent,2490,7,2497,1.35,199
12,13,BHARAT SHARMA @ BHARAT SHARMA VYAS,Independent,3361,18,3379,1.82,199
13,14,MANISH BHUSHAN OJHA,Independent,2837,26,2863,1.54,199
14,15,NOTA,None of the Above,2264,29,2293,1.24,199
0,1,Nirmal Kumar Singh,Rashtriya Lok Samta Party,30238,251,30489,18.67,200
1,2,Parshuram Chaubey,Bharatiya Janata Party,54830,695,55525,33.99,200
2,3,Sanjay Kr. Tiwari @ Munna Tiwari,Indian National Congress,58181,1236,59417,36.38,200
3,4,Ashwini Kumar Rai,Hindu Samaj Party,783,13,796,0.49,200
4,5,Ram Nath Thakur,Bhartiya Sablog Party,709,24,733,0.45,200
5,6,Sanjay Kumar Chaubey,Rashtriya Jan Jan Party,311,12,323,0.2,200
6,7,Arun Kumar Ojha,Independent,714,9,723,0.44,200
7,8,Aakash Kumar Singh,Independent,5717,77,5794,3.55,200
8,9,Kamal Narayan Yadav,Independent,400,6,406,0.25,200
9,10,Gobardhn Misara,Independent,1135,6,1141,0.7,200
10,11,Bheem Prasad,Independent,455,9,464,0.28,200
11,12,Ravi Raj,Independent,1456,5,1461,0.89,200
12,13,Raja Ram  Singh,Independent,1378,6,1384,0.85,200
13,14,Sudhakar Mishra,Independent,1046,8,1054,0.65,200
14,15,NOTA,None of the Above,3602,28,3630,2.22,200
0,1,ANJUM ARA,Janata Dal (United),46484,421,46905,26.81,201
1,2,AKHILESH KUMAR SINGH,Lok Jan Shakti Party,6373,101,6474,3.7,201
2,3,ARVIND PRATAP SHAHI @ BANTI SHAHI,Rashtriya Lok Samta Party,11445,72,11517,6.58,201
3,4,AJIT KUMAR SINGH,Communist Party of India  (Marxist-Leninist)  (Liberation),70338,982,71320,40.76,201
4,5,VIKASH SINGH,Rashtriya Jaihind Party,1620,8,1628,0.93,201
5,6,VINAY RAUT,Bhartiya Party (Loktantrik),902,11,913,0.52,201
6,7,SHREE KANT SINGH,Jan Adhikar Party (Loktantrik),1844,14,1858,1.06,201
7,8,ANSHU KUMARI,Independent,393,14,407,0.23,201
8,9,GANGA PRASAD,Independent,412,3,415,0.24,201
9,10,DADAN YADAV,Independent,9032,134,9166,5.24,201
10,11,PRIYESH KUMAR,Independent,461,6,467,0.27,201
11,12,MANORANJAN KUMAR PASWAN,Independent,1297,3,1300,0.74,201
12,13,MOHAMMAD AFZAL ANSARI,Independent,2960,1,2961,1.69,201
13,14,RAVI SHANKAR RAI,Independent,1071,2,1073,0.61,201
14,15,RAJARAM CHAUDHARI,Independent,1274,3,1277,0.73,201
15,16,SHIVANG VIJAY SINGH,Independent,9333,57,9390,5.37,201
16,17,SANTOSH KUMAR CHOUBEY,Independent,1761,2,1763,1.01,201
17,18,SUNIL KUMAR @ PAPPU YADAV,Independent,4213,52,4265,2.44,201
18,19,NOTA,None of the Above,1864,13,1877,1.07,201
0,1,NIRBHAYA KUMAR NIRALA,Lok Jan Shakti Party,7403,46,7449,4.03,202
1,2,VISHWANATH RAM,Indian National Congress,66957,914,67871,36.76,202
2,3,SANJAY RAM,Bahujan Samaj Party,43674,162,43836,23.74,202
3,4,SANTOSH KUMAR NIRALA,Janata Dal (United),46392,275,46667,25.28,202
4,5,ASHOK KUMAR RAM,Bahujan Mukti Party,1325,2,1327,0.72,202
5,6,ASHOK PASWAN,Rashtriya Jaihind Party,742,6,748,0.41,202
6,7,MOHAN RAM RAJAK,Peoples Party of India (Democratic),585,2,587,0.32,202
7,8,SAVINAY KUMAR,Bharatiya Aam Awam Party,967,2,969,0.52,202
8,9,SURAJ PRAKASH RAM,Sanyukt Kisan Vikas Party,885,0,885,0.48,202
9,10,HARE RAM PRASAD,Bhartiya Sablog Party,1439,2,1441,0.78,202
10,11,AJAD PASWAN,Independent,4270,6,4276,2.32,202
11,12,CHHEDI LAL RAM,Independent,2355,10,2365,1.28,202
12,13,NIKUNJ KUMAR ARYAN,Independent,1481,0,1481,0.8,202
13,14,NEELKAMAL PRASAD,Independent,1869,4,1873,1.01,202
14,15,NOTA,None of the Above,2829,12,2841,1.54,202
0,1,Ambika Singh,Bahujan Samaj Party,57589,305,57894,32.3,203
1,2,Ashok Kumar Singh,Bharatiya Janata Party,55750,334,56084,31.29,203
2,3,Ram Bachan Ram,Nationalist Congress Party,903,4,907,0.51,203
3,4,Sudhakar Singh,Rashtriya Janata Dal,57284,799,58083,32.4,203
4,5,Deepak Upadhyay,Bhartiya Sablog Party,584,0,584,0.33,203
5,6,Indresh Bahadur Singh,Independent,509,1,510,0.28,203
6,7,MD. Iliyas Ansari,Independent,189,3,192,0.11,203
7,8,Ram Bachan Singh,Independent,181,1,182,0.1,203
8,9,Ram Sudhakar Tiwary,Independent,381,0,381,0.21,203
9,10,Shankar Dayal Anand,Independent,862,2,864,0.48,203
10,11,Shahil Kumar,Independent,394,1,395,0.22,203
11,12,Sanjay Kumar Singh,Independent,1170,1,1171,0.65,203
12,13,NOTA,None of the Above,2015,4,2019,1.13,203
0,1,Niranjan Ram,Bharatiya Janata Party,48929,252,49181,30.39,204
1,2,Rajesh Kumar Ram,Nationalist Congress Party,766,5,771,0.48,204
2,3,Sangita Kumari,Rashtriya Janata Dal,60029,1206,61235,37.84,204
3,4,Suman Devi,Rashtriya Lok Samta Party,39659,196,39855,24.63,204
4,5,Anil Kumar,Akhil Bhartiya Apna Dal,740,3,743,0.46,204
5,6,Indrajit Ram,Rashtrawadi Janlok Party (Satya),1595,8,1603,0.99,204
6,7,Dadan Ram,Swaraj Party (Loktantrik),286,2,288,0.18,204
7,8,Ashwini Kumar,Independent,299,0,299,0.18,204
8,9,Dulesh Ram,Independent,382,0,382,0.24,204
9,10,Bechan Ram,Independent,495,4,499,0.31,204
10,11,Brajesh Kumar,Independent,1017,3,1020,0.63,204
11,12,Mukesh Kumar Raj,Independent,1220,5,1225,0.76,204
12,13,Sonu Kumari,Independent,863,1,864,0.53,204
13,14,NOTA,None of the Above,3860,11,3871,2.39,204
0,1,BIRENDRA KUMAR SINGH,Rashtriya Lok Samta Party,36780,234,37014,21.21,205
1,2,BHARAT BIND,Rashtriya Janata Dal,56562,999,57561,32.98,205
2,3,RINKI RANI PANDEY,Bharatiya Janata Party,47115,401,47516,27.22,205
3,4,SANJAY KUMAR SINHA,Nationalist Congress Party,639,1,640,0.37,205
4,5,CHTHU GOND,Ambedkarite Party of India,719,5,724,0.41,205
5,6,DIWAKER CHOUBEY,Rashtrawadi Janlok Party (Satya),1090,6,1096,0.63,205
6,7,POONAM SINGH URF DR. POONAM KUSHWAHA,Bahujan Mukti Party,306,8,314,0.18,205
7,8,MUKHTAR ANSARI,Peace Party,269,6,275,0.16,205
8,9,RAMCHANDR SINGH YADAV,Jan Adhikar Party (Loktantrik),1162,11,1173,0.67,205
9,10,UJJWAL KUMAR CHAUBAY,Independent,711,8,719,0.41,205
10,11,KRISHNAKANT TIWARI,Independent,668,1,669,0.38,205
11,12,DOCTOR PRAMOD KUMAR SINGH,Independent,20368,271,20639,11.83,205
12,13,NARENDRA PRATAP SINGH,Independent,1133,0,1133,0.65,205
13,14,STYENDRA KUMAR DUBEY,Independent,1389,1,1390,0.8,205
14,15,NOTA,None of the Above,3660,11,3671,2.1,205
0,1,MOHD. ZAMA KHAN,Bahujan Samaj Party,94296,949,95245,46.24,206
1,2,PRAKASH KUMAR SINGH,Indian National Congress,5316,98,5414,2.63,206
2,3,BRIJ KISHOR BIND,Bharatiya Janata Party,70646,305,70951,34.45,206
3,4,DEENDAYAL SINGH KUSHWAHA,Bhartiya Lokmat Rashtrwadi Party,1240,1,1241,0.6,206
4,5,PUSHPA DEVI,Sapaks Party,513,1,514,0.25,206
5,6,PRABHU SINGH,"Rashtriya Swatantra Party,",923,1,924,0.45,206
6,7,RAJPUT DHARMENDRA SINGH,Rashtrawadi Janlok Party (Satya),951,10,961,0.47,206
7,8,RAM RAJ SHARMA,"Log Jan Party - Secular,",1870,5,1875,0.91,206
8,9,RENU DEVI,Hindu Samaj Party,1446,12,1458,0.71,206
9,10,SHIV SHANKAR SINGH,Rashtra Sewa Dal,1125,2,1127,0.55,206
10,11,SAHNAWAJ ANSARI,Peace Party,340,4,344,0.17,206
11,12,RITURAJ PATEL,Independent,841,6,847,0.41,206
12,13,DIWAN ARSHAD HUSAIN KHAN,Independent,2264,10,2274,1.1,206
13,14,NIRAJ PANDEY,Independent,13038,81,13119,6.37,206
14,15,PRAHALAD BIND,Independent,2023,2,2025,0.98,206
15,16,MAJANU GOND,Independent,4188,3,4191,2.03,206
16,17,MADAN RAM,Independent,1565,0,1565,0.76,206
17,18,RAMLAL SINGH,Independent,485,0,485,0.24,206
18,19,VISHWANATH BIND,Independent,809,2,811,0.39,206
19,20,NOTA,None of the Above,595,4,599,0.29,206
0,1,CHANDRA SHEKHAR PASWAN,Lok Jan Shakti Party,17970,104,18074,10.4,207
1,2,BHAJURAM,Nationalist Congress Party,816,11,827,0.48,207
2,3,MURARI PRASAD GAUTAM,Indian National Congress,70933,768,71701,41.25,207
3,4,LALAN PASWAN,Janata Dal (United),53444,254,53698,30.89,207
4,5,SHYAM BIHARI RAM,Bahujan Samaj Party,12801,63,12864,7.4,207
5,6,GANESH PASWAN,Rashtra Sewa Dal,686,6,692,0.4,207
6,7,PACHMUNA DEVI,Bahujan Mukti Party,590,9,599,0.34,207
7,8,SANJAY KUMAR,Ambedkarite Party of India,1332,5,1337,0.77,207
8,9,HARENDRA KUMAR,Azad Samaj Party,797,5,802,0.46,207
9,10,DHARM DEV RAM,Independent,1310,2,1312,0.75,207
10,11,PRAMOD KUMAR,Independent,664,3,667,0.38,207
11,12,BABY DEVI,Independent,1232,3,1235,0.71,207
12,13,MANISH KUMAR RAJAK,Independent,3061,7,3068,1.77,207
13,14,RAM ADHAR PASWAN,Independent,2548,1,2549,1.47,207
14,15,RAMEKBAL RAM,Independent,945,3,948,0.55,207
15,16,NOTA,None of the Above,3430,20,3450,1.98,207
0,1,ASHOK KUMAR,Janata Dal (United),56448,432,56880,31.78,208
1,2,ASHUTOSH SINGH,Nationalist Congress Party,1074,21,1095,0.61,208
2,3,RAJESH KUMAR GUPTA,Rashtriya Janata Dal,82227,1076,83303,46.54,208
3,4,RAMESHWAR PRASAD,Lok Jan Shakti Party,21265,161,21426,11.97,208
4,5,AJAY KUMAR SINGH,Sanyukt Vikas Party,697,3,700,0.39,208
5,6,ARVIND SINGH,Rashtriya Samanta Dal,407,1,408,0.23,208
6,7,ARUN KUMAR,Hindu Samaj Party,377,4,381,0.21,208
7,8,JAGTENDU KUMAR,Rashtra Sewa Dal,408,3,411,0.23,208
8,9,BADAL KUMAR,Bahujan Mukti Party,561,14,575,0.32,208
9,10,YAMUNA CHOUDHARY,All India Minorities Front,629,5,634,0.35,208
10,11,RAJIV RANJAN TUTUL,Bhartiya Sablog Party,859,9,868,0.48,208
11,12,LAKSHMI DEVI,Proutist Sarva Samaj,457,3,460,0.26,208
12,13,AMLA TRIPATHI,Independent,1463,13,1476,0.82,208
13,14,UDAY AMAR SINGH,Independent,1414,1,1415,0.79,208
14,15,URMILA KUER,Independent,430,0,430,0.24,208
15,16,DEEN DAYAL SINGH,Independent,2176,2,2178,1.22,208
16,17,MUNESHWAR GUPTA,Independent,2462,1,2463,1.38,208
17,18,RAM SAGAR DWIVEDY,Independent,490,0,490,0.27,208
18,19,SATYANAND KUMAR,Independent,1687,4,1691,0.94,208
19,20,SATYENDRA KUMAR SATYA,Independent,613,3,616,0.34,208
20,21,NOTA,None of the Above,1079,14,1093,0.61,208
0,1,UDAY PRATAP SINGH,Bahujan Samaj Party,47065,256,47321,24.35,209
1,2,RAKESH KUMAR SINGH,Lok Jan Shakti Party,16907,81,16988,8.74,209
2,3,BASHISTH SINGH,Janata Dal (United),55351,329,55680,28.66,209
3,4,SANTOSH KUMAR MISHRA,Indian National Congress,59017,746,59763,30.76,209
4,5,NARAD SETH,Rashtra Sewa Dal,1161,3,1164,0.6,209
5,6,MOHAMMAD SHAKIL ANSARI,Sanyukt Vikas Party,374,3,377,0.19,209
6,7,RAVI PATEL,Rashtrawadi Janlok Party (Satya),245,2,247,0.13,209
7,8,VINDHYACHAL DEVI,Bhartiya Sablog Party,640,3,643,0.33,209
8,9,SHAILESH KUMAR,Bharatiya Aam Awam Party,409,0,409,0.21,209
9,10,SANJAY CHOUBEY,Rashtriya Jaihind Party,230,4,234,0.12,209
10,11,SIMA KUMARI,Jan Adhikar Party (Loktantrik),1487,26,1513,0.78,209
11,12,SAURABH TIWARI,Bhartiya Lokmat Rashtrwadi Party,483,0,483,0.25,209
12,13,ARVIND KUMAR SINGH,Independent,1436,7,1443,0.74,209
13,14,KAMALA SINGH,Independent,1016,0,1016,0.52,209
14,15,DEEPAK KUMAR,Independent,647,0,647,0.33,209
15,16,NEERAJ SHUKLA,Independent,1594,0,1594,0.82,209
16,17,PARAMHANS TIWARI,Independent,896,0,896,0.46,209
17,18,RAMASHANKAR TIWARI,Independent,717,0,717,0.37,209
18,19,RINKU KUMARI,Independent,1560,0,1560,0.8,209
19,20,LAL DHARI SINGH,Independent,894,0,894,0.46,209
20,21,NOTA,None of the Above,705,4,709,0.36,209
0,1,JAI KUMAR SINGH,Janata Dal (United),27009,243,27252,16,210
1,2,RAJENDRA PRASAD SINGH,Lok Jan Shakti Party,51025,288,51313,30.13,210
2,3,RAJESH SINGH,Rashtriya Lok Samta Party,18297,71,18368,10.79,210
3,4,VIJAY KUMAR MANDAL,Rashtriya Janata Dal,58921,620,59541,34.97,210
4,5,ARUN KUMAR SINGH,Jan Adhikar Party (Loktantrik),896,8,904,0.53,210
5,6,JOKHU PASWAN,Bahujan Mukti Party,412,3,415,0.24,210
6,7,RAJENDRA SAH,Shoshit Samaj Dal,282,1,283,0.17,210
7,8,RAMESAR NONIYA,Rashtriya Janwadi Party (Socialist),446,0,446,0.26,210
8,9,SATYENDRA AMRTY KATYAYAN,Rashtrawadi Janlok Party (Satya),303,3,306,0.18,210
9,10,SITA SUNDARI KUMARI,Rashtriya Janshakti Party (Secular),180,4,184,0.11,210
10,11,SUNANDA SINGH,Bhartiya Sablog Party,309,1,310,0.18,210
11,12,AJAY KUMAR SINGH,Independent,841,1,842,0.49,210
12,13,ANIL KUMAR SINGH,Independent,1163,2,1165,0.68,210
13,14,ARBIND KUMAR PANDEY,Independent,915,4,919,0.54,210
